Stress_Data,AE_Reduced_Data,,,,,,,,AE_Reduced_Data,Stress_Data,,,
6.528663785,44970.15053,1.876202295,10.71375423,0.175120901,,,,,,,,44970.15053,6.528663785
6.551315888,45008.22903,1.879665928,10.71460062,0.175430331,,,,,,,,45008.22903,6.551315888
6.578726303,45634.62603,1.883841156,10.72842205,0.175593498,,,,,,,,45634.62603,6.578726303
6.603075573,45680.79553,1.887535536,10.72943326,0.175921271,,,,,,,,45680.79553,6.603075573
6.626901864,45973.40203,1.891137404,10.73581829,0.176152144,,,,,,,,45973.40203,6.626901864
6.645613524,65341.40203,1.893957017,11.08738114,0.170820953,,,,,,,,65341.40203,6.645613524
6.675763656,65479.12703,1.898483603,11.0894867,0.171196707,,,,,,,,65479.12703,6.675763656
6.702847042,65786.41153,1.902532368,11.09416858,0.171489405,,,,,,,,65786.41153,6.702847042
6.723075136,65829.92253,1.905545659,11.09482976,0.171750779,,,,,,,,65829.92253,6.723075136
6.741879298,65897.19653,1.908338714,11.09585118,0.17198669,,,,,,,,65897.19653,6.741879298
6.762281915,65934.24453,1.911360394,11.09641323,0.17225029,,,,,,,,65934.24453,6.762281915
6.786969761,66242.79703,1.915004562,11.10108201,0.172506118,,,,,,,,66242.79703,6.786969761
6.81415044,66416.47203,1.919001397,11.10370038,0.172825394,,,,,,,,66416.47203,6.81415044
6.837832181,66513.69903,1.922470749,11.10516321,0.173115038,,,,,,,,66513.69903,6.837832181
6.855709883,66550.27603,1.925081865,11.10571297,0.173341583,,,,,,,,66550.27603,6.855709883
6.877965281,66745.22453,1.928322864,11.10863803,0.173587694,,,,,,,,66745.22453,6.877965281
6.911963825,66940.17953,1.933253798,11.11155466,0.173985896,,,,,,,,66940.17953,6.911963825
6.934844278,67009.88153,1.936558599,11.11259537,0.174266995,,,,,,,,67009.88153,6.934844278
6.959877949,67119.70903,1.940161938,11.11423301,0.174565527,,,,,,,,67119.70903,6.959877949
6.989133634,67313.17103,1.944356605,11.1171112,0.174897648,,,,,,,,67313.17103,6.989133634
7.01184644,67457.13803,1.947601067,11.11924768,0.175155831,,,,,,,,67457.13803,7.01184644
7.04151775,67690.34703,1.951823736,11.12269886,0.175481127,,,,,,,,67690.34703,7.04151775
7.069948242,67763.55103,1.955853159,11.12377973,0.175826311,,,,,,,,67763.55103,7.069948242
7.094798072,67870.79553,1.95936185,11.12536111,0.176116697,,,,,,,,67870.79553,7.094798072
7.117972744,67937.35053,1.962622958,11.12634124,0.17639428,,,,,,,,67937.35053,7.117972744
7.153900274,68009.24803,1.967657701,11.12739898,0.176829977,,,,,,,,68009.24803,7.153900274
7.177842393,68141.08103,1.970998836,11.12933556,0.177099417,,,,,,,,68141.08103,7.177842393
7.20158411,68268.08503,1.974301017,11.13119766,0.17736645,,,,,,,,68268.08503,7.20158411
7.23410942,68402.91703,1.978807259,11.13317075,0.177739775,,,,,,,,68402.91703,7.23410942
7.259187428,68477.57003,1.982267898,11.13426153,0.178033172,,,,,,,,68477.57003,7.259187428
7.287265406,68577.85103,1.98612836,11.13572489,0.17835645,,,,,,,,68577.85103,7.287265406
7.31562879,68698.39353,1.99001299,11.13748109,0.178677115,,,,,,,,68698.39353,7.31562879
7.346046057,68805.51853,1.994162217,11.13903923,0.179024616,,,,,,,,68805.51853,7.346046057
7.374776866,68875.08503,1.998065646,11.14004978,0.179358772,,,,,,,,68875.08503,7.374776866
7.403552081,69240.24603,2.001959896,11.14533756,0.179623083,,,,,,,,69240.24603,7.403552081
7.436132653,69360.35903,2.006350909,11.14707079,0.17998907,,,,,,,,69360.35903,7.436132653
7.461989655,69758.45453,2.009822088,11.1527939,0.180207947,,,,,,,,69758.45453,7.461989655
7.493091143,69810.54153,2.013981415,11.1535403,0.180568802,,,,,,,,69810.54153,7.493091143
7.522226321,69846.94653,2.017862147,11.15406165,0.180908284,,,,,,,,69846.94653,7.522226321
7.549927119,70252.71653,2.02153791,11.15985426,0.181143755,,,,,,,,70252.71653,7.549927119
7.573412162,70324.08103,2.024643714,11.16086957,0.181405553,,,,,,,,70324.08103,7.573412162
7.600613195,71535.33953,2.028228928,11.17794687,0.181449147,,,,,,,,71535.33953,7.600613195
7.625996057,71625.46753,2.031562944,11.17920598,0.181726944,,,,,,,,71625.46753,7.625996057
7.649892668,75262.42353,2.034691617,11.22873627,0.181203972,,,,,,,,75262.42353,7.649892668
7.686897579,75746.26053,2.039517266,11.23514436,0.181530135,,,,,,,,75746.26053,7.686897579
7.708559216,75800.95303,2.042331298,11.23586614,0.181768924,,,,,,,,75800.95303,7.708559216
7.734647421,123910.665,2.045709901,11.72731614,0.174439733,,,,,,,,123910.665,7.734647421
7.76706038,124077.296,2.049891763,11.72866001,0.174776297,,,,,,,,124077.296,7.76706038
7.791902941,124191.385,2.05308511,11.72957908,0.17503485,,,,,,,,124191.385,7.791902941
7.822817666,124233.049,2.057044805,11.72991451,0.175367417,,,,,,,,124233.049,7.822817666
7.858886826,124810.606,2.061644971,11.73455272,0.17569012,,,,,,,,124810.606,7.858886826
7.883096114,125149.8745,2.064720735,11.73726729,0.175911537,,,,,,,,125149.8745,7.883096114
7.906077883,125262.7205,2.067631816,11.73816857,0.176146032,,,,,,,,125262.7205,7.906077883
7.937656876,125391.2475,2.071618128,11.73919411,0.176470217,,,,,,,,125391.2475,7.937656876
7.968377092,125450.2045,2.075480845,11.73966418,0.176792182,,,,,,,,125450.2045,7.968377092
7.992929124,125503.832,2.078557291,11.74009157,0.177047792,,,,,,,,125503.832,7.992929124
8.021314372,125542.0305,2.082102295,11.74039589,0.177345152,,,,,,,,125542.0305,8.021314372
8.042744252,125672.5335,2.08477035,11.74143486,0.177556693,,,,,,,,125672.5335,8.042744252
8.070938818,125715.365,2.08826981,11.74177562,0.177849575,,,,,,,,125715.365,8.070938818
8.101127256,125787.6145,2.092003219,11.74235016,0.178158817,,,,,,,,125787.6145,8.101127256
8.127098763,125823.462,2.095204004,11.74263511,0.178427072,,,,,,,,125823.462,8.127098763
8.146313517,125959.718,2.097565496,11.74371744,0.178611714,,,,,,,,125959.718,8.146313517
8.169371012,126145.8315,2.100391918,11.74519391,0.178829906,,,,,,,,126145.8315,8.169371012
8.205854081,126186.099,2.104847812,11.74551307,0.179204416,,,,,,,,126186.099,8.205854081
8.234679698,126238.3945,2.108354468,11.74592742,0.179496637,,,,,,,,126238.3945,8.234679698
8.261145084,126283.8005,2.111563208,11.74628704,0.179764312,,,,,,,,126283.8005,8.261145084
8.288829951,126329.9035,2.114908819,11.74665205,0.18004354,,,,,,,,126329.9035,8.288829951
8.315215622,126427.5825,2.118087044,11.74742495,0.180302241,,,,,,,,126427.5825,8.315215622
8.351306202,126589.6625,2.122417958,11.74870613,0.180651208,,,,,,,,126589.6625,8.351306202
8.385130224,126674.2795,2.126459926,11.74937434,0.18098495,,,,,,,,126674.2795,8.385130224
8.413166614,126783.6185,2.129797933,11.75023712,0.181255741,,,,,,,,126783.6185,8.413166614
8.439937836,127104.425,2.132974943,11.75276427,0.181487086,,,,,,,,127104.425,8.439937836
8.474885181,127327.929,2.137107105,11.75452116,0.181811498,,,,,,,,127327.929,8.474885181
8.505895302,128015.058,2.140759488,11.75990318,0.18203887,,,,,,,,128015.058,8.505895302
8.538695999,128089.5025,2.144608303,11.76048454,0.182357138,,,,,,,,128089.5025,8.538695999
8.583491115,128123.5325,2.149840721,11.76075018,0.182797924,,,,,,,,128123.5325,8.583491115
8.608692108,129919.9955,2.152772403,11.77467412,0.182830742,,,,,,,,129919.9955,8.608692108
8.644902378,129981.8085,2.156969827,11.77514979,0.183179821,,,,,,,,129981.8085,8.644902378
8.68258026,130035.924,2.161318749,11.77556603,0.183542663,,,,,,,,130035.924,8.68258026
8.719020902,130071.626,2.16550695,11.77584055,0.183894045,,,,,,,,130071.626,8.719020902
8.755028292,130217.0565,2.169628197,11.776958,0.184226538,,,,,,,,130217.0565,8.755028292
8.796860893,130360.896,2.174394941,11.77806201,0.184613983,,,,,,,,130360.896,8.796860893
8.833189987,130562.4565,2.178516216,11.77960699,0.184939635,,,,,,,,130562.4565,8.833189987
8.860410246,130633.6435,2.181593067,11.78015207,0.185192267,,,,,,,,130633.6435,8.860410246
8.900876668,130784.144,2.186149774,11.78130349,0.185560942,,,,,,,,130784.144,8.900876668
8.941036886,130909.601,2.190651565,11.7822623,0.185927924,,,,,,,,130909.601,8.941036886
8.976135498,130929.496,2.194569444,11.78241426,0.186258045,,,,,,,,130929.496,8.976135498
9.014784108,131101.9685,2.198865908,11.78373068,0.186601847,,,,,,,,131101.9685,9.014784108
9.049514387,131123.7205,2.202711097,11.78389659,0.186925528,,,,,,,,131123.7205,9.049514387
9.083989412,131158.738,2.206513459,11.78416361,0.18724396,,,,,,,,131158.738,9.083989412
9.111761519,131252.6225,2.209566054,11.78487916,0.187491617,,,,,,,,131252.6225,9.111761519
9.147574656,131266.635,2.213488779,11.78498592,0.187822777,,,,,,,,131266.635,9.147574656
9.167750154,131369.3645,2.215691908,11.78576821,0.187997241,,,,,,,,131369.3645,9.167750154
9.18673761,131445.1106,2.21776088,11.78634463,0.188163587,,,,,,,,131445.1106,9.18673761
9.218323914,131547.5901,2.221193233,11.78712397,0.188442341,,,,,,,,131547.5901,9.218323914
9.238296277,131589.0691,2.223357483,11.78743923,0.188620907,,,,,,,,131589.0691,9.238296277
9.265246583,131635.2186,2.226270474,11.78778988,0.188862416,,,,,,,,131635.2186,9.265246583
9.288895764,131795.0146,2.228819683,11.78900307,0.189059216,,,,,,,,131795.0146,9.288895764
9.312742154,131931.4966,2.231383586,11.7900381,0.189260083,,,,,,,,131931.4966,9.312742154
9.332187232,132053.6771,2.233469417,11.79096376,0.189422125,,,,,,,,132053.6771,9.332187232
9.354932017,132901.1851,2.235903693,11.79736116,0.189525747,,,,,,,,132901.1851,9.354932017
9.37661065,133004.9361,2.23821836,11.79814152,0.189709401,,,,,,,,133004.9361,9.37661065
9.396994581,133054.9761,2.240389913,11.79851768,0.189887406,,,,,,,,133054.9761,9.396994581
9.418034161,133089.6321,2.242626379,11.79877811,0.190072765,,,,,,,,133089.6321,9.418034161
9.430136652,133305.7601,2.243910588,11.80040072,0.190155457,,,,,,,,133305.7601,9.430136652
9.45326165,133435.4886,2.24635983,11.80137341,0.190347322,,,,,,,,133435.4886,9.45326165
9.488746103,134776.7096,2.250106476,11.81137469,0.190503353,,,,,,,,134776.7096,9.488746103
9.509147183,134812.1546,2.252254197,11.81163764,0.190680942,,,,,,,,134812.1546,9.509147183
9.530362849,134856.2826,2.254482791,11.81196492,0.190864332,,,,,,,,134856.2826,9.530362849
9.54689267,135181.7286,2.256215727,11.81437529,0.190972072,,,,,,,,135181.7286,9.54689267
9.572042348,135232.5021,2.258846594,11.81475081,0.191188678,,,,,,,,135232.5021,9.572042348
9.598671394,135368.6221,2.261624692,11.81575687,0.191407518,,,,,,,,135368.6221,9.598671394
9.627334002,135427.6706,2.264606344,11.81619298,0.191652789,,,,,,,,135427.6706,9.627334002
9.653611089,135466.5926,2.267332051,11.81648034,0.191878799,,,,,,,,135466.5926,9.653611089
9.673587619,135521.3851,2.269399246,11.81688473,0.192047168,,,,,,,,135521.3851,9.673587619
9.708416361,135613.3226,2.272993175,11.8175629,0.192340265,,,,,,,,135613.3226,9.708416361
9.740695292,135769.7226,2.2763125,11.81871551,0.19260236,,,,,,,,135769.7226,9.740695292
9.769910953,135803.6191,2.279307352,11.81896514,0.192851686,,,,,,,,135803.6191,9.769910953
9.791615493,135879.1016,2.281526458,11.81952081,0.193030368,,,,,,,,135879.1016,9.791615493
9.820976723,136044.2796,2.28452058,11.8207357,0.193263824,,,,,,,,136044.2796,9.820976723
9.846513814,136140.3176,2.287117465,11.82144138,0.193471963,,,,,,,,136140.3176,9.846513814
9.868169269,136236.9746,2.289314352,11.82215111,0.193646176,,,,,,,,136236.9746,9.868169269
