ABS Energy,Category
261123.896,Original_data
261129.446,Original_data
261138.736,Original_data
261163.036,Original_data
261163.036,Original_data
261164.156,Original_data
261247.156,Original_data
261289.056,Original_data
261290.176,Original_data
261290.176,Original_data
261290.176,Original_data
261291.436,Original_data
261441.436,Original_data
261458.036,Original_data
261699.036,Original_data
261725.236,Original_data
261726.706,Original_data
261726.706,Original_data
261776.906,Original_data
261880.906,Original_data
261882.326,Original_data
261915.126,Original_data
261924.616,Original_data
261940.416,Original_data
261942.606,Original_data
261978.306,Original_data
261978.306,Original_data
261979.496,Original_data
261979.496,Original_data
261980.616,Original_data
261980.616,Original_data
261981.736,Original_data
261985.926,Original_data
261985.926,Original_data
261985.926,Original_data
262010.926,Original_data
262020.436,Original_data
262020.436,Original_data
262037.336,Original_data
262037.336,Original_data
262071.436,Original_data
262139.636,Original_data
262295.636,Original_data
262328.936,Original_data
262328.936,Original_data
263254.936,Original_data
263273.936,Original_data
263273.936,Original_data
263279.086,Original_data
263279.086,Original_data
263279.086,Original_data
263293.486,Original_data
263294.746,Original_data
263332.946,Original_data
263357.446,Original_data
263501.446,Original_data
263537.246,Original_data
263537.246,Original_data
263537.246,Original_data
263549.746,Original_data
263580.246,Original_data
263581.326,Original_data
263600.126,Original_data
263704.126,Original_data
263709.276,Original_data
263718.226,Original_data
263724.786,Original_data
263724.786,Original_data
263724.786,Original_data
263724.786,Original_data
263725.784,Original_data
263886.784,Original_data
263888.254,Original_data
263923.454,Original_data
264642.454,Original_data
264709.354,Original_data
264709.354,Original_data
264709.354,Original_data
264875.354,Original_data
264974.454,Original_data
264974.454,Original_data
265040.354,Original_data
265074.854,Original_data
265074.854,Original_data
265076.804,Original_data
265219.804,Original_data
265219.804,Original_data
265347.804,Original_data
265970.804,Original_data
265971.802,Original_data
266005.602,Original_data
266007.072,Original_data
266086.572,Original_data
266086.572,Original_data
266840.572,Original_data
266841.632,Original_data
266860.732,Original_data
266860.732,Original_data
266860.732,Original_data
266932.232,Original_data
266977.732,Original_data
267007.132,Original_data
267072.032,Original_data
267072.032,Original_data
267120.932,Original_data
267122.012,Original_data
267141.312,Original_data
267156.412,Original_data
267159.172,Original_data
267159.172,Original_data
267317.172,Original_data
267341.172,Original_data
267342.642,Original_data
267473.642,Original_data
267474.902,Original_data
267474.902,Original_data
267488.002,Original_data
267494.122,Original_data
267494.122,Original_data
267495.452,Original_data
267512.152,Original_data
276762.152,Original_data
276786.752,Original_data
281346.752,Original_data
281350.052,Original_data
281392.652,Original_data
281426.952,Original_data
281455.652,Original_data
282875.652,Original_data
282875.652,Original_data
282875.652,Original_data
282876.712,Original_data
282883.542,Original_data
282896.942,Original_data
282913.142,Original_data
282914.352,Original_data
282937.652,Original_data
282956.152,Original_data
282956.152,Original_data
282970.252,Original_data
282972.872,Original_data
283022.872,Original_data
283031.552,Original_data
283031.552,Original_data
283033.252,Original_data
283170.252,Original_data
283278.252,Original_data
283307.052,Original_data
283323.252,Original_data
283332.842,Original_data
283332.842,Original_data
283334.102,Original_data
283335.502,Original_data
284136.502,Original_data
285776.502,Original_data
286498.502,Original_data
286510.902,Original_data
286510.902,Original_data
286512.522,Original_data
286555.922,Original_data
286561.922,Original_data
286567.762,Original_data
286741.762,Original_data
286741.762,Original_data
286786.262,Original_data
286802.562,Original_data
286811.932,Original_data
286813.332,Original_data
286813.332,Original_data
286855.832,Original_data
286923.432,Original_data
286924.692,Original_data
286947.192,Original_data
287030.792,Original_data
287439.792,Original_data
287439.792,Original_data
287473.692,Original_data
287473.692,Original_data
287678.692,Original_data
287683.572,Original_data
288430.572,Original_data
288830.572,Original_data
288876.172,Original_data
288876.172,Original_data
288888.172,Original_data
292968.172,Original_data
292968.172,Original_data
293035.572,Original_data
293035.572,Original_data
293042.592,Original_data
293043.782,Original_data
293101.182,Original_data
293102.192,Original_data
293416.192,Original_data
293416.192,Original_data
293429.092,Original_data
293442.692,Original_data
293714.692,Original_data
293714.692,Original_data
293722.302,Original_data
293831.302,Original_data
293831.302,Original_data
293843.202,Original_data
293920.302,Original_data
293924.752,Original_data
293928.322,Original_data
293929.512,Original_data
293993.412,Original_data
293993.412,Original_data
293999.662,Original_data
294008.492,Original_data
294013.482,Original_data
294014.542,Original_data
294014.542,Original_data
294059.342,Original_data
294074.842,Original_data
294076.052,Original_data
294170.052,Original_data
294218.352,Original_data
294228.552,Original_data
294228.552,Original_data
294235.262,Original_data
294235.262,Original_data
294595.262,Original_data
294692.862,Original_data
294702.862,Original_data
294704.122,Original_data
294733.722,Original_data
294894.722,Original_data
294894.722,Original_data
294894.722,Original_data
294901.742,Original_data
295006.742,Original_data
295061.842,Original_data
295061.842,Original_data
295073.342,Original_data
295073.342,Original_data
295076.442,Original_data
295081.212,Original_data
295081.212,Original_data
295082.222,Original_data
295171.122,Original_data
295174.312,Original_data
295279.312,Original_data
295279.312,Original_data
295280.592,Original_data
295291.692,Original_data
295291.692,Original_data
295293.162,Original_data
295303.762,Original_data
295304.822,Original_data
295304.822,Original_data
295306.082,Original_data
295345.282,Original_data
295349.162,Original_data
295430.862,Original_data
295444.162,Original_data
295449.442,Original_data
295471.842,Original_data
295488.442,Original_data
295489.632,Original_data
295589.632,Original_data
295719.632,Original_data
295786.132,Original_data
295786.132,Original_data
295824.432,Original_data
295835.032,Original_data
295842.702,Original_data
295858.302,Original_data
295879.302,Original_data
295879.302,Original_data
295899.302,Original_data
295899.302,Original_data
295899.302,Original_data
296010.302,Original_data
296022.802,Original_data
296063.002,Original_data
